الفئة,الوزن,أثيل (مستهدف),Threads Culture (Service),Cultural Universe (Public Metaverse),Smartify,Veevart,Dexibit,STQRY,Arches,Zetcom MuseumPlus,Axiell
تشغيل خدمات ثقافية إبداعية ميدانية,0.08,5,5,1,3,2,1,2,1,2,2
إدارة مشاريع ثقافية (PMO),0.08,5,3,1,2,3,1,1,2,2,2
إدارة محتوى ثقافي متعدد اللغات,0.09,5,4,2,5,3,2,4,3,4,3
إدارة التجارب/الجولات/المسارات,0.09,5,4,3,5,4,2,5,2,2,2
تحليلات زوار/تشغيل,0.10,5,2,1,4,3,5,3,2,2,2
ذكاء اصطناعي قابل للتشغيل (تحرير/توصية/تنبؤ),0.11,5,2,2,4,3,4,2,2,2,2
إدارة أصول/ممتلكات التراث العمراني,0.12,5,1,1,2,1,1,1,5,3,3
SaaS متعدد الجهات (Multi-tenant),0.09,5,1,1,4,4,4,4,3,4,4
توافق حكومي/حوكمة/اعتماد,0.08,5,3,4,3,3,3,2,4,4,4
تكاملات API/مرونة التوسع,0.06,5,2,1,4,4,4,3,5,4,4
تجارب XR/AR/VR/ميتافيرس,0.06,5,2,5,4,1,1,2,1,1,1
السياق المحلي السعودي (القيم/العادات/المواسم/الهوية),0.08,5,4,5,2,1,1,1,1,1,1
نموذج ربحي هجين منصة+استوديو,0.06,5,5,1,3,2,2,2,1,1,1
مجموع موزون تقريبي,1.00,5.00,2.86,1.99,3.54,2.76,2.62,2.54,2.54,2.72,2.60
ملاحظات,NA,هدف استراتيجي وليس أداء حالي,قوي جدًا في التنفيذ الإبداعي والخدمات,مرجعية وطنية للتجربة الغامرة العامة,قوي في التوجيه والمحتوى والزائر,Culture OS للمؤسسات (CRM+Ticketing+Ops),قوي في بيانات الزوار والذكاء التحليلي,قوي في الجولات الذاتية,قوي في إدارة بيانات التراث المفتوحة,قوي في إدارة المجموعات المتحفية,قوي في أنظمة المتاحف والمعايير
